                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6962,                 4.3732,                 2.0158,                0.54524,                0.10714,                0.03708,                0.01788,                  2.947,                 17.208,                  3.012,                0.00015,                0.00015,                0.00015
                      2,                 1.2298,                 2.6638,                 1.7393,                0.56416,                0.15092,                0.04309,                0.02368,                 3.0184,                 6.0276,                 3.2214,             0.00030366,             0.00030366,             0.00030366
                      3,                 1.1093,                 2.3106,                 1.6282,                0.82208,                0.16071,                0.13876,                0.07627,                 2.9484,                 7.3946,                 3.6897,             0.00044813,             0.00044813,             0.00044813
                      4,                  1.158,                 2.0749,                   1.64,                0.15855,                0.31256,                0.23057,                0.10282,                 2.8135,                 11.947,                 3.4268,              0.0005834,              0.0005834,              0.0005834
                      5,                  1.157,                 2.0111,                 1.6507,                0.53737,                0.20276,                0.21417,                0.13591,                  2.595,                 3.6274,                 3.2569,             0.00070949,             0.00070949,             0.00070949
                      6,                 1.1417,                 1.8901,                 1.6625,                0.11776,                0.23491,                 0.1381,                0.03995,                 3.1062,                  3.725,                 3.2526,             0.00082638,             0.00082638,             0.00082638
                      7,                 1.0613,                 1.7985,                  1.593,                0.70398,                0.28571,                0.23264,                0.07985,                 2.7475,                 3.7951,                 3.4257,             0.00093407,             0.00093407,             0.00093407
                      8,                 1.1298,                 1.9058,                 1.6322,                0.14427,                0.31862,                0.20057,                0.12493,                 2.3616,                 4.2008,                 2.7191,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.1513,                 1.8449,                 1.6571,                0.49407,                0.34493,                0.22425,                0.13858,                 2.2461,                 4.1999,                 2.6414,              0.0010025,              0.0010025,              0.0010025
                     10,                 1.1792,                 1.7433,                  1.672,                0.48241,                 0.2961,                0.24349,                0.14296,                  2.225,                  4.805,                 2.5718,             0.00096714,             0.00096714,             0.00096714
                     11,                 1.1277,                 1.7484,                 1.6392,                0.41387,                0.13626,                0.19933,                0.14103,                 2.3941,                 3.4753,                 2.8225,             0.00093179,             0.00093179,             0.00093179
                     12,                 1.0363,                 1.5788,                 1.5785,                0.51612,                0.28664,                0.22561,                0.08263,                 2.6641,                 3.8828,                 3.1402,             0.00089643,             0.00089643,             0.00089643
                     13,                 1.1458,                 1.6832,                 1.6686,                0.13365,                0.32707,                0.19958,                0.06969,                 2.8757,                 3.4408,                 3.3681,             0.00086107,             0.00086107,             0.00086107
                     14,                 1.1064,                 1.6169,                 1.6302,                 0.5252,                0.37816,                0.31882,                0.17366,                  2.273,                 2.9135,                 2.9155,             0.00082571,             0.00082571,             0.00082571
                     15,                0.98912,                 1.5822,                 1.5731,                0.58618,                0.45194,                0.42638,                0.17628,                 2.4895,                 2.9671,                 2.9945,             0.00079036,             0.00079036,             0.00079036
                     16,                 1.1251,                 1.6098,                 1.6658,                0.59856,                0.41769,                  0.327,                0.21432,                 2.1368,                 3.1046,                 2.7697,               0.000755,               0.000755,               0.000755
                     17,                   1.02,                 1.5454,                 1.5421,                0.35253,                0.57961,                0.42486,                0.21957,                 2.2782,                 2.9314,                 2.7292,             0.00071964,             0.00071964,             0.00071964
                     18,                0.97011,                 1.4027,                  1.499,                0.29712,                 0.5682,                0.41779,                0.20361,                 2.4072,                 3.2598,                 2.6198,             0.00068429,             0.00068429,             0.00068429
                     19,                 1.0745,                  1.402,                 1.5877,                 0.4268,                0.50211,                0.42947,                 0.1285,                 2.4203,                 3.0631,                 2.6639,             0.00064893,             0.00064893,             0.00064893
                     20,                 1.0184,                 1.4075,                 1.5166,                0.38108,                 0.4877,                0.32441,                0.11275,                  2.459,                  3.161,                 2.6797,             0.00061357,             0.00061357,             0.00061357
                     21,                0.91915,                 1.3249,                 1.4761,                0.48665,                0.42247,                0.32785,                0.21091,                 2.1263,                  3.897,                 2.4432,             0.00057821,             0.00057821,             0.00057821
                     22,                 1.0002,                 1.3124,                 1.5403,                0.40528,                0.48013,                0.43761,                0.25913,                 2.0395,                 3.1332,                 2.4538,             0.00054286,             0.00054286,             0.00054286
                     23,                0.96252,                 1.2861,                 1.4848,                0.49512,                0.50472,                 0.4367,                0.21326,                 2.2268,                 2.9068,                 2.4646,              0.0005075,              0.0005075,              0.0005075
                     24,                0.87659,                  1.356,                  1.467,                 0.4586,                0.60553,                 0.4904,                0.21987,                  2.216,                 3.3971,                 2.5538,             0.00047214,             0.00047214,             0.00047214
                     25,                0.94429,                 1.2782,                 1.4966,                0.51199,                0.58767,                0.54965,                0.28524,                 2.0879,                 2.7356,                 2.3618,             0.00043679,             0.00043679,             0.00043679
                     26,                 1.3385,                 1.6927,                 1.9045,                0.42723,                0.61187,                0.55667,                0.28149,                 1.9756,                 2.6833,                 2.2612,             0.00040143,             0.00040143,             0.00040143
                     27,                  1.247,                 1.4969,                 1.8253,                0.31174,                0.59622,                0.48475,                0.25794,                 2.0003,                  3.078,                 2.3123,             0.00036607,             0.00036607,             0.00036607
                     28,                 1.2323,                 1.4259,                 1.8388,                0.59395,                0.52085,                0.43414,                0.25176,                 1.9817,                 2.7953,                 2.3325,             0.00033071,             0.00033071,             0.00033071
                     29,                 1.1231,                 1.2776,                 1.7353,                0.68952,                0.45014,                0.48346,                0.28337,                 2.0349,                 2.4948,                 2.3707,             0.00029536,             0.00029536,             0.00029536
                     30,                 1.1166,                 1.1903,                 1.7529,                0.77197,                0.47247,                0.53872,                0.30068,                 2.0525,                 2.3285,                 2.4076,                0.00026,                0.00026,                0.00026
                     31,                 1.1108,                 1.2073,                 1.7148,                 0.8004,                0.47014,                 0.5453,                0.29817,                 2.0722,                 2.2975,                 2.4321,             0.00022464,             0.00022464,             0.00022464
                     32,                 1.1518,                 1.1012,                 1.7311,                0.38425,                0.62972,                0.46913,                0.26926,                 2.1662,                 2.4931,                 2.5056,             0.00018929,             0.00018929,             0.00018929
                     33,                 1.0908,                 1.0273,                 1.6785,                0.39175,                0.63909,                 0.4527,                 0.2703,                 2.1883,                 2.7196,                 2.4246,             0.00015393,             0.00015393,             0.00015393
                     34,                 1.0191,                0.99833,                 1.6344,                0.39669,                0.65427,                0.45883,                0.27816,                 2.1287,                 2.7293,                 2.3242,             0.00011857,             0.00011857,             0.00011857
                     35,                  1.038,                 1.0614,                 1.6268,                0.38072,                0.64585,                0.46168,                0.27876,                  2.121,                 2.8274,                 2.3087,             8.3214e-05,             8.3214e-05,             8.3214e-05
