                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3844,                 3.5985,                 1.8833,                 1.3933,                 6.4706,                 1.8388,                0.00131,                0.30472,                0.02379,                0.01598,                 2.0778,                  4.954,                 2.5807,                 2.1613,                  13.41,                 2.5069,               0.000225,               0.000225,               0.000225
                      2,                 1.1277,                 2.9003,                  1.676,                 1.0845,                 5.3868,                 1.5556,                0.00289,                0.30588,                0.05589,                0.01325,                 2.7418,                 5.3993,                 2.7635,                 2.5655,                 14.325,                 2.3398,             0.00044418,             0.00044418,             0.00044418
                      3,                 1.1164,                 2.3165,                 1.6414,                  1.083,                 4.9616,                 1.5407,                0.00226,                0.19412,                0.04517,                0.01341,                 2.7781,                 5.1924,                 2.9584,                   2.84,                 14.416,                 2.7484,             0.00064456,             0.00064456,             0.00064456
                      4,                 1.0772,                 2.1399,                 1.6334,                 1.0869,                 4.5051,                 1.5635,                0.00218,                0.31106,                0.01262,                0.00566,                 1.9755,                 4.6609,                 2.2264,                 1.9882,                 11.987,                 2.2226,             0.00082613,             0.00082613,             0.00082613
                      5,                 1.1031,                  2.103,                 1.6293,                 1.1523,                  4.176,                 1.5515,                0.00182,                0.34505,                0.05348,                0.02082,                 2.1969,                 4.1613,                 2.6504,                 2.0068,                 10.609,                 2.1324,             0.00098888,             0.00098888,             0.00098888
                      6,                 1.0934,                  1.999,                 1.6187,                 1.1631,                 3.7544,                 1.5482,                0.57692,                0.11521,                0.17591,                0.07479,                 1.9283,                 4.4785,                 2.5162,                 1.8859,                 10.034,                 2.5333,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.1017,                 1.9177,                 1.6212,                   1.14,                 3.4624,                 1.5483,                0.56296,                0.11175,                0.04226,                0.00803,                 2.8213,                 8.8146,                 3.4552,                 2.3464,                 12.158,                 3.0159,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.0762,                 1.8152,                 1.6009,                 1.1298,                 3.2124,                 1.5352,                0.51618,                0.31071,                0.30737,                0.08644,                 2.1493,                 6.3139,                 2.5802,                  1.972,                 9.2691,                 2.3496,               0.000953,               0.000953,               0.000953
                      9,                 1.0552,                 1.7728,                 1.5831,                 1.1406,                 3.0248,                 1.5286,                0.36191,                0.14747,                0.21461,                0.10197,                 2.4295,                 3.6477,                 2.7367,                 2.0581,                 6.6675,                 2.3348,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.0356,                 1.6832,                 1.5708,                 1.1066,                  2.775,                 1.5255,                0.21909,                0.36642,                0.21295,                0.13621,                 1.9273,                 4.0931,                 2.3686,                 1.9125,                 6.9482,                 2.2014,               0.000854,               0.000854,               0.000854
                     11,                0.94232,                 1.5852,                 1.4973,                 1.0319,                 2.5609,                  1.478,                0.53593,                0.39021,                0.21159,                0.11515,                 1.8226,                  3.437,                 2.2017,                 1.8955,                 5.5626,                 2.3079,              0.0008045,              0.0008045,              0.0008045
                     12,                0.97399,                  1.557,                 1.5274,                 1.0645,                 2.4357,                 1.4789,                0.62437,                 0.2941,                0.30269,                0.21217,                 1.7476,                 3.0601,                 2.0777,                 1.6236,                 4.7444,                 1.9163,               0.000755,               0.000755,               0.000755
                     13,                0.93209,                 1.4923,                 1.4911,                 1.0487,                 2.3651,                 1.4598,                0.56014,                0.30191,                0.37195,                0.16021,                 1.8626,                 3.4288,                 2.0824,                 1.6388,                 5.2307,                 1.9058,              0.0007055,              0.0007055,              0.0007055
                     14,                0.93559,                 1.4627,                 1.4914,                 1.0408,                 2.2584,                 1.4537,                0.42947,                0.54585,                 0.4599,                 0.1939,                 1.8849,                 2.9255,                  2.183,                 1.7958,                 4.6072,                 2.0156,               0.000656,               0.000656,               0.000656
                     15,                0.93067,                 1.3917,                 1.4676,                  1.027,                 2.1559,                 1.4338,                 0.5136,                0.39824,                0.38947,                0.13335,                 1.9595,                 2.9671,                 2.1802,                 1.9011,                 4.3779,                 1.9915,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.2144,                 1.5509,                 1.7691,                 1.2914,                 2.5835,                 1.7464,                0.54957,                0.30042,                0.37422,                 0.1906,                 1.8497,                 2.2767,                 2.2726,                 1.8658,                 3.7583,                 2.2019,               0.000557,               0.000557,               0.000557
                     17,                 1.1572,                 1.3682,                 1.7013,                  1.286,                 2.3154,                 1.7063,                0.61318,                0.42892,                0.37048,                0.19942,                 1.6842,                 2.0748,                 1.9145,                 1.8015,                  3.338,                 1.9083,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.1117,                 1.2861,                 1.7333,                   1.27,                 2.1918,                 1.7551,                0.62462,                0.34917,                  0.386,                0.22911,                 1.5582,                 2.0725,                 1.8425,                 1.7663,                 3.1881,                 1.9704,               0.000458,               0.000458,               0.000458
                     19,                 1.1176,                  1.249,                 1.6783,                 1.2439,                 2.0897,                 1.6721,                0.38894,                0.41106,                0.36464,                0.22746,                 1.5079,                 1.9944,                   1.73,                 1.7624,                  3.102,                 1.8466,              0.0004085,              0.0004085,              0.0004085
