                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0222,                 10.176,                 3.9103,                0.00146,                0.29839,                0.01228,                 0.0065,                 3.6436,                  11.27,                 4.6403,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.4951,                 9.6873,                 3.5917,                0.00153,                0.28053,                0.02995,                0.01848,                 3.8209,                 11.505,                  4.678,             0.00015606,             0.00015606,             0.00015606
                      3,                 2.1599,                 9.5139,                 3.3827,                 0.0014,                0.31452,                0.04347,                0.03392,                 3.9544,                 11.513,                 4.8793,              0.0002302,              0.0002302,              0.0002302
                      4,                 2.3116,                 8.4652,                 3.2771,                0.00146,                0.34505,                 0.0153,                0.01174,                 3.5699,                 11.147,                 4.2891,              0.0002974,              0.0002974,              0.0002974
                      5,                 2.1844,                 7.8688,                 3.1049,                0.00208,                0.30472,                0.09684,                0.07779,                  3.557,                 11.105,                 4.1021,             0.00035768,             0.00035768,             0.00035768
                      6,                  2.119,                 7.6242,                 3.0831,                0.00343,                0.36118,                 0.0766,                0.05178,                 3.3167,                 10.562,                 3.9758,             0.00041103,             0.00041103,             0.00041103
                      7,                 2.1986,                  7.262,                  3.065,                0.00336,                0.34505,                0.07012,                0.03078,                  4.394,                 11.221,                 4.8834,             0.00045744,             0.00045744,             0.00045744
                      8,                 2.3409,                 7.1358,                 3.2501,                0.00328,                0.35311,                0.05626,                0.02537,                 4.2621,                 10.951,                 4.6935,             0.00049693,             0.00049693,             0.00049693
                      9,                 2.1242,                 6.9102,                 3.0619,                0.00327,                 0.3773,                0.12693,                0.07491,                 3.5152,                 10.393,                 4.1912,             0.00052948,             0.00052948,             0.00052948
                     10,                 2.0196,                 6.3944,                 2.9864,                      1,                0.06485,                0.16799,                0.14033,                 3.7575,                 10.348,                 4.4194,             0.00055511,             0.00055511,             0.00055511
                     11,                 2.0218,                   6.27,                 3.0151,                0.00238,                0.41935,                 0.1475,                0.09687,                 3.5983,                 10.099,                 4.1031,              0.0005738,              0.0005738,              0.0005738
                     12,                 2.0641,                 6.0561,                 3.0796,                0.85293,                0.02625,                0.14362,                0.10161,                 3.6371,                 9.7986,                 3.9254,             0.00058557,             0.00058557,             0.00058557
                     13,                 2.1624,                 6.3113,                 3.0374,                0.87746,                0.09315,                 0.1523,                0.09742,                 3.7038,                 9.9205,                 4.2435,              0.0005904,              0.0005904,              0.0005904
                     14,                 2.0545,                   6.05,                 3.0046,                0.38558,                0.06427,                0.12983,                 0.0503,                 4.3155,                 10.474,                 4.6992,              0.0005883,              0.0005883,              0.0005883
                     15,                 2.0732,                 5.7706,                 3.0281,                0.93651,                0.16071,                0.23284,                0.12475,                 3.9101,                 9.8496,                 4.4698,               0.000557,               0.000557,               0.000557
                     16,                 2.8316,                 9.5706,                  3.821,                0.78801,                0.03389,                0.14017,                0.07954,                 3.5835,                 10.054,                 4.3807,              0.0005075,              0.0005075,              0.0005075
                     17,                  2.567,                 8.9352,                 3.6713,                0.64579,                0.06164,                0.17147,                0.09851,                 3.4312,                 9.2555,                 4.0951,               0.000458,               0.000458,               0.000458
                     18,                 2.5814,                 8.7583,                 3.7373,                0.90954,                0.12607,                0.18619,                0.12971,                 3.4742,                 8.2017,                 3.9206,              0.0004085,              0.0004085,              0.0004085
                     19,                 2.3867,                 8.1109,                 3.4897,                0.90198,                0.19643,                0.21489,                 0.1258,                 3.4739,                  7.854,                 3.9977,               0.000359,               0.000359,               0.000359
                     20,                 2.4925,                   7.99,                 3.5123,                0.77783,                 0.2118,                0.27062,                0.16748,                 3.4816,                 7.2123,                 4.1261,              0.0003095,              0.0003095,              0.0003095
                     21,                 2.3529,                 7.5697,                 3.4315,                0.72433,                0.21888,                 0.2982,                0.18167,                 3.5629,                 7.0985,                 4.1967,                0.00026,                0.00026,                0.00026
                     22,                 2.3427,                 7.2558,                 3.3865,                0.78374,                0.25487,                0.22097,                0.13871,                 3.2855,                 6.7836,                 3.8947,              0.0002105,              0.0002105,              0.0002105
                     23,                 2.1959,                 7.1432,                 3.2159,                0.78214,                0.25213,                0.26362,                0.17231,                 3.1694,                 6.8083,                  3.801,               0.000161,               0.000161,               0.000161
                     24,                 2.1871,                 6.9925,                 3.2062,                0.44654,                0.32247,                0.33189,                0.18402,                 3.1831,                 6.5901,                 3.7049,              0.0001115,              0.0001115,              0.0001115
                     25,                  2.093,                 7.0335,                 3.1648,                0.52137,                0.34698,                0.36762,                0.19225,                 3.2207,                 6.3186,                 3.8236,                6.2e-05,                6.2e-05,                6.2e-05
